id,titolo_originale,titolo,anno,genere,durata,paese,voto_medio,voto_critica,voto_pubblico,voti_totali,humor,ritmo,impegno,tensione
71224,Boychoir,L'ottava nota,2014,Drammatico,106,USA,6.1,6.0,6,56,0,1,2,1
71226,Gentlemen,Gentlemen,2014,Drammatico,141,Svezia,3.5,4.0,3,4,0,0,0,0
71228,Maggie,Contagious,2014,Drammatico,95,USA,5.4,5.5,5,79,0,1,1,1
71234,American Sniper,American Sniper,2014,Azione,134,USA,6.8,6.75,7,520,1,3,3,3
71235,Morning Star,Morning Star,2014,Horror,90,Italia,3.9,,4,9,0,2,0,2
71239,Battlestar Galactica: Blood & Chrome,Battlestar Galactica: Blood & Chrome,2012,Azione,91,USA,6.0,,6,5,0,0,0,0
71243,Senza vergogna,Senza vergogna,1986,Drammatico,94,Italia,3.5,1.0,6,3,0,0,0,0
71245,Making 'Taxi Driver',Making 'Taxi Driver',1999,Documentario,71,USA,6.5,6.0,7,4,0,0,0,0
71255,Italia K2,Italia K2,1955,Documentario,95,Italia,6.0,7.0,5,3,0,0,0,0
71257,Il deserto di fuoco,Il deserto di fuoco,1997,Avventura,270,"Italia, Francia, Germania",4.0,2.0,6,3,0,0,0,0
71259,Puccini,Puccini,2009,Biografico,194,Italia,3.0,1.0,5,4,0,0,0,0
71260,Tenshi no tamago,Angel's Egg,1985,Animazione,71,Giappone,8.4,8.5,8,38,0,0,0,0
71262,The Unholy Three,Il trio infernale,1925,Thriller,86,USA,7.2,7.0,7,18,2,3,3,3
71264,The Blackbird,The Blackbird,1925,Thriller,86,USA,6.6,7.0,6,10,0,2,2,2
71269,Where East Is East,Vendetta d'oriente,1929,Drammatico,65,USA,6.3,6.0,7,7,0,2,1,2
71274,Short Skin - I dolori del giovane Edo,Short Skin - I dolori del giovane Edo,2014,Commedia,83,"Italia, Iran, Gran Bretagna",6.7,7.0,6,43,2,2,1,0
71276,Blood Cells,Blood Cells,2014,Drammatico,92,"Gran Bretagna, Italia",7.3,8.0,7,3,0,0,0,0
71279,Darfur,Darfur,2009,Drammatico,98,"Canada, Sudafrica, Germania",5.7,,6,3,0,0,0,0
71281,Me ne frego!,Me ne frego!,2014,Documentario,58,Italia,7.0,6.5,8,4,0,0,0,0
71284,Ant-Man,Ant-Man,2015,Supereroi,115,"USA, Gran Bretagna",6.5,6.5,6,204,2,2,1,1
71285,A Good Marriage,A Good Marriage,2014,Thriller,102,USA,5.3,5.43,5,74,0,1,1,2
71310,One Direction: Where We Are - The Concert Film,One Direction: Where We Are - Il film concerto,2014,Musicale,90,Gran Bretagna,3.3,5.0,2,3,1,2,0,0
71313,Mise en scène with Arthur Penn (a conversation),Mise en scène with Arthur Penn (a conversation),2014,Documentario,214,USA,7.0,8.0,6,5,0,0,0,0
71315,Emilie Richards - Sehnsucht nach Sandy Bay,Emilie Richards: Nostalgia di Sandy Bay,2011,Drammatico,89,Germania,2.0,,2,5,0,0,0,0
71317,Emilie Richards - Sehnsucht nach Paradise Island,Emilie Richards: Un piccolo paradiso,2011,Drammatico,89,Germania,4.5,,5,4,0,0,0,0
71319,Emilie Richards - Entscheidung des Herzens,Emilie Richards: Non è mai troppo tardi,2011,Sentimentale,89,Germania,3.4,,3,5,0,0,0,0
71321,Emilie Richards - Der Zauber von Neuseeland,Emilie Richards: Amore e magia,2011,Drammatico,90,Germania,4.1,,4,8,0,0,0,0
71323,Zwart water,Gli occhi del mistero,2010,Horror,112,"Olanda, Belgio",4.8,,5,5,0,0,0,0
71325,Rewind,Rewind,2013,Fantascienza,76,USA,5.4,,5,11,0,0,0,0
71327,Andrea Camilleri - Il maestro senza regole,Andrea Camilleri - Il maestro senza regole,2014,Documentario,90,Italia,5.8,6.0,6,3,0,0,0,0
71335,John Wick,John Wick,2014,Azione,136,USA,6.1,6.16,6,309,1,4,1,2
71343,Il clan dei camorristi,Il clan dei camorristi,2013,Drammatico,144,Italia,7.6,,8,5,0,0,0,0
71351,Leone nel basilico,Leone nel basilico,2015,Commedia,99,Italia,5.6,6.67,4,24,0,0,1,1
71353,The Pyramid,La piramide,2014,Horror,89,USA,4.3,3.8,5,47,0,2,1,2
71355,Le leggi del desiderio,Le leggi del desiderio,2015,Commedia,105,Italia,3.4,3.4,3,44,2,2,1,0
71363,The Age of Adaline,Adaline - L'eterna giovinezza,2015,Drammatico,110,USA,5.5,5.07,6,124,1,2,2,1
71371,Absolutely Anything,Un'occasione da Dio,2015,Commedia,85,Gran Bretagna,4.9,4.86,5,69,2,3,0,0
71375,Rock the Kasbah,Rock the Kasbah,2015,Commedia,100,USA,4.4,3.5,5,37,1,2,1,0
71379,Catch Hell,Catch Hell,2014,Drammatico,98,USA,5.0,,5,5,0,0,0,0
71385,De Behandeling,The Treatment,2014,Thriller,131,Belgio,6.7,7.0,6,9,0,0,0,0
